id,name,AircraftLa,Aircraft_1,Aircraft_2,CellTowers,CellTowe_1,CellTowe_2,ChildCareC,ChildCar_1,ChildCar_2,ComunityCe,Comunity_1,Comunity_2,Courthouse,Courthou_1,Courthou_2,DialysisCe,Dialysis_1,Dialysis_2,EnergySubS,EnergySu_1,EnergySu_2,FireStatio,FireStat_1,FireStat_2,Hospitals_,Hospital_1,Hospital_2,MajorState,MajorSta_1,MajorSta_2,Pharmacies,Pharmaci_1,Pharmaci_2,PoliceStat,PoliceSt_1,PoliceSt_2,Schools_Co,Schools_Ra,Schools_No,Shelters_C,Shelters_R,Shelters_N,Universiti,Universi_1,Universi_2,WaterPumps,WaterPum_1,WaterPum_2,Total_Infr,Income_Val,Income_Sco,Population,Populati_1,Under 18_V,Under 18_S,Over 64_Va,Over 64_Sc,Total_Cens,Floodzones,Landslide_,TsunamiEva,Total_Zone,Final_Scor
"1",ESCUELA SEGUNDO RUIZ BELVIS,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"1",711.700000000000045,0.192668994829313,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"14",8056.100000000000364,1.000000000000000,"0",0.000000000000000,0.000000000000000,"4",2254.200000000000273,1.000000000000000,"5",2634.100000000000364,1.000000000000000,"17",12328.200000000000728,0.840756528982312,"1",1164.299999999999955,0.944358828777679,"8",4772.100000000000364,0.524320167005439,"3",2473.599999999999909,0.392790789996030,"3",2746.299999999999272,0.563424491721888,"10",3567.000000000000000,0.361112798396404,6.819432599709066,19919.000000000000000,0.043819636581171,64825.000000000000000,0.350000000000000,11550.000000000000000,0.100000000000000,13904.000000000000000,0.350000000000000,0.843819636581171,-200.000000000000000,0.000000000000000,0.000000000000000,-200.000000000000000,-192.336747763709752
"2",EMILIO CASTELAR,"0",0.000000000000000,0.000000000000000,"1",1112.700000000000045,1.000000000000000,"1",175.999999999999972,0.068747314558025,"4",623.600000000000136,0.168818863531769,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"14",6074.200000000000728,0.753987661523566,"1",690.500000000000000,0.391839745772330,"4",1754.200000000000045,0.778191819714311,"4",1517.300000000000182,0.576022170760412,"26",9652.600000000000364,0.653472207639487,"1",0.000000000000000,0.000000000000000,"17",7061.899999999999636,0.775905070592759,"9",2043.500000000000000,0.324493846764589,"4",3525.099999999999909,0.723201280183821,"7",1990.299999999999955,0.201492235113082,6.416172216154152,19919.000000000000000,0.043819636581171,64825.000000000000000,0.350000000000000,11550.000000000000000,0.100000000000000,13904.000000000000000,0.350000000000000,0.843819636581171,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.259991852735322
"3",HAYDEE REXACH,"3",0.000000000000000,0.000000000000000,"1",82.599999999999909,0.074233845600791,"1",0.000000000000000,0.000000000000000,"7",3693.899999999999636,1.000000000000000,"0",0.000000000000000,0.000000000000000,"2",599.900000000000091,0.367653367653368,"10",1653.500000000000000,0.205248197018408,"2",629.299999999999955,0.357110430144138,"1",0.000000000000000,0.000000000000000,"1",183.900000000000091,0.069815117117801,"16",11505.500000000001819,0.783169890034509,"3",1217.000000000000000,0.987103576932436,"21",9101.500000000000000,1.000000000000000,"10",6297.499999999999091,1.000000000000000,"7",531.400000000000091,0.109020782471329,"11",3722.399999999999636,0.376845046467837,6.330200253440618,19919.000000000000000,0.043819636581171,64825.000000000000000,0.350000000000000,11550.000000000000000,0.100000000000000,13904.000000000000000,0.350000000000000,0.843819636581171,-200.000000000000000,0.000000000000000,0.000000000000000,-200.000000000000000,-192.825980109978218
"4",LAS MERCEDES,"4",965.399999999999864,1.000000000000000,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"7",999.700000000000045,0.270635371829232,"1",0.000000000000000,0.000000000000000,"2",1481.900000000000091,0.908193908193908,"12",2622.199999999999818,0.325492483956257,"2",1619.200000000000045,0.918851435705368,"2",901.599999999999909,0.399964510691154,"4",2590.699999999999818,0.983523784214722,"24",6253.900000000001455,0.415572961508578,"3",11.099999999999907,0.009003163273583,"23",5877.699999999999818,0.645794649233643,"9",1581.299999999999955,0.251099642715363,"10",4874.300000000000182,1.000000000000000,"7",1296.500000000000000,0.131253922938306,7.259385834260114,16039.000000000000000,0.014805952291932,14141.000000000000000,0.000000000000000,2180.000000000000000,0.000000000000000,3421.000000000000000,0.000000000000000,0.014805952291932,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.274191786552046
"5",EUGENIO MARIA DE HOSTOS,"3",858.899999999999864,0.889683032939714,"0",0.000000000000000,0.000000000000000,"2",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"9",2823.599999999999454,0.350492173632403,"1",1762.199999999999818,1.000000000000000,"1",0.000000000000000,0.000000000000000,"1",629.799999999999955,0.239094947040735,"16",4970.899999999999636,0.325766643567614,"2",641.799999999999955,0.520561278286966,"11",7070.799999999999272,0.776882931384936,"2",503.699999999999989,0.079984120682811,"2",0.000000000000000,0.000000000000000,"9",3129.100000000000364,0.316781064609528,4.499246192144707,21806.000000000000000,0.057930157780603,37952.000000000000000,0.164427630021308,6565.000000000000000,0.046798292422625,8619.000000000000000,0.173547648573881,0.442703728798418,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.941949920943126
"6",ISAAC GONZALEZ MARTINEZ,"4",280.100000000000136,0.290138802568884,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"13",1696.600000000000364,0.210598180260920,"2",303.200000000000045,0.172057655203723,"12",1687.599999999999682,0.748646970100257,"2",0.000000000000000,0.000000000000000,"16",9708.000000000000000,0.657350048648005,"2",420.500000000000000,0.341065779868602,"12",5455.399999999999636,0.599395704004834,"4",726.000000000000000,0.115283842794760,"3",323.400000000000091,0.066347988429108,"3",2651.900000000000091,0.268470712101885,3.469355683980979,21806.000000000000000,0.057930157780603,37952.000000000000000,0.164427630021308,6565.000000000000000,0.046798292422625,8619.000000000000000,0.173547648573881,0.442703728798418,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.912059412779397
"7",Dr. José N Gàndara,"1",347.599999999999909,0.360058007043712,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"5",2324.300000000000182,0.629226562711497,"0",0.000000000000000,0.000000000000000,"2",743.299999999999955,0.455537169822884,"4",810.099999999999909,0.100557341641737,"1",1128.400000000000091,0.640335943706730,"0",0.000000000000000,0.000000000000000,"2",828.399999999999977,0.314490717892259,"6",316.900000000000091,0.000000000000000,"2",965.700000000000045,0.783275204801687,"16",7226.500000000000000,0.793990001648080,"4",2779.200000000000728,0.441317983326717,"2",827.299999999999955,0.169726935149662,"5",0.000000000000000,0.000000000000000,4.688515867744968,14059.000000000000000,0.000000000000000,26303.000000000000000,0.083985084050193,5978.000000000000000,0.040533617929562,5073.000000000000000,0.055155966803396,0.179674668783152,-200.000000000000000,0.000000000000000,0.000000000000000,-200.000000000000000,-195.131809463471882
"8",DRA ANTONIA SAEZ,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"1",733.299999999999955,0.286434123667044,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"6",1431.200000000000045,0.177654199923040,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"8",2560.599999999999909,0.157052560845005,"2",0.000000000000000,0.000000000000000,"7",787.199999999999818,0.086491237708070,"0",0.000000000000000,0.000000000000000,"3",0.000000000000000,0.000000000000000,"12",712.000000000000000,0.072080827714673,0.779712949857833,17568.000000000000000,0.026239437672923,24613.000000000000000,0.072314734432957,5053.000000000000000,0.030661686232657,4856.000000000000000,0.047910903367357,0.177126761705894,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.956839711563727
"9",GERARDO SELLES SOLA,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"1",383.299999999999898,0.149720714034608,"3",2100.400000000000091,0.568613118925797,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"4",1839.100000000000364,0.228286639937439,"0",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"9",6138.800000000000182,0.407516291832035,"1",1232.900000000000091,1.000000000000000,"12",5624.500000000000909,0.617975059056200,"2",208.799999999999926,0.033156014291385,"2",119.999999999999986,0.024618919639743,"16",5137.899999999999636,0.520146186397781,3.550032944114987,17568.000000000000000,0.026239437672923,24613.000000000000000,0.072314734432957,5053.000000000000000,0.030661686232657,4856.000000000000000,0.047910903367357,0.177126761705894,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.727159705820881
"10",JARDINES DEL PARAISO,"1",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"2",870.799999999999841,0.340142963165501,"6",2003.900000000000318,0.542488968299088,"0",0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,"3",0.000000000000000,0.000000000000000,"1",0.000000000000000,0.000000000000000,"2",313.000000000000000,0.138851920858841,"0",0.000000000000000,0.000000000000000,"10",1215.399999999999636,0.062892421410722,"2",0.000000000000000,0.000000000000000,"9",1595.600000000000364,0.175311761797506,"6",442.599999999999909,0.070281857880111,"3",355.900000000000091,0.073015612498205,"12",4532.699999999999818,0.458877482840309,1.861862988750283,29457.000000000000000,0.115142451207657,33662.000000000000000,0.134802896377555,5703.000000000000000,0.037598719316969,8847.000000000000000,0.181159973290089,0.468704040192270,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.330567028942553
